lake,Datetime,St,mean_rho,Zg,Zv,mean_depth,lake_area,surface_temp,bottom_temp,therm_dep,max_depth
BM,1991-07-29,188.712974077518,999.412944663052,12.9951158283859,12.9926562146062,7.5,3601324.31758529,21.1,8.9,9.33268183124362,18.2
BM,1991-08-14,213.807065830299,999.355839521592,12.9954430545564,12.9926562146062,7.5,3601324.31758529,23.1,8.9,8.78412942006181,18.2
BM,1991-08-27,221.887566142023,999.310311690286,12.9955485105349,12.9926562146062,7.5,3601324.31758529,22.1,8.9,9.93444534624233,18.2
BM,1991-09-09,188.879838169081,999.344722893683,12.9951181712873,12.9926562146062,7.5,3601324.31758529,20.1,9.1,10.7756114704518,18.2
BM,1991-09-24,76.1937066417292,999.511060859423,12.9936491971769,12.9926562146062,7.5,3601324.31758529,14.5,9.2,13.589186067454,18.2
BM,1991-10-07,7.96656380926472,999.632073972498,12.9927600250351,12.9926562146062,7.5,3601324.31758529,11.3,9.4,17.0481242025206,18.2
BM,1991-10-29,0.676053818573239,999.856889397934,12.9926650221245,12.9926562146062,7.5,3601324.31758529,8.9,8.3,2.27755843645603,18.2
BM,1992-01-13,3.79715788897075,999.983592166064,12.7348617502657,12.7348099720178,7.5,3601324.31758529,0.6,3.4,5.14549258000303,18.2
BM,1992-02-25,3.80425641339979,999.990263567924,12.9927057692249,12.9926562146062,7.5,3601324.31758529,0.2,4.1,3.79515227300362,18.2
BM,1992-03-27,2.31832983638444,999.994488187766,12.9926864132714,12.9926562146062,7.5,3601324.31758529,0.2,4.4,2.31216737917813,18.2
BM,1992-05-05,0.702837866905215,999.973430118244,12.9926653699956,12.9926562146062,7.5,3601324.31758529,6.2,5.7,6.86482907540886,18.2
BM,1992-05-20,45.5392190189175,999.825459283706,12.9932495107364,12.9926562146062,7.5,3601324.31758529,14.3,7.3,6.66100294714758,18.2
BM,1992-06-03,89.8909897723291,999.730607511609,12.9938274476119,12.9926562146062,7.5,3601324.31758529,19.5,7.6,5.98207336179307,18.2
BM,1992-06-18,130.405621032496,999.613785479755,12.9943555308294,12.9926562146062,7.5,3601324.31758529,18.8,8,8.61974684896037,18.2
BM,1992-07-08,120.978407752737,999.575829488554,12.9942327446334,12.9926562146062,7.5,3601324.31758529,18,8.2,9.10801216427862,18.2
BM,1992-07-14,133.668556562552,999.562009306839,12.9943981403818,12.9926562146062,7.5,3601324.31758529,19.7,8.2,8.05008815874367,18.2
BM,1992-07-30,173.089868737127,999.457644596184,12.9949121018219,12.9926562146062,7.5,3601324.31758529,21.2,8.4,8.61550007654813,18.2
BM,1992-08-12,190.235709095134,999.401556271007,12.9951357033942,12.9926562146062,7.5,3601324.31758529,20.7,8.6,9.94707049678735,18.2
BM,1992-08-25,183.984828760315,999.410424225767,12.9950542095694,12.9926562146062,7.5,3601324.31758529,20.3,8.7,10.0877147572113,18.2
BM,1992-09-09,139.063984020524,999.406683982289,12.9944687335161,12.9926562146062,7.5,3601324.31758529,17,8.6,12.6238104709823,18.2
BM,1992-09-23,93.9128594580094,999.475413155166,12.9938801629183,12.9926562146062,7.5,3601324.31758529,15.1,8.7,13.6534660519883,18.2
BM,1992-10-07,47.0381622567953,999.461757197529,12.9932692623428,12.9926562146062,7.5,3601324.31758529,13.9,9,15.277083681227,18.2
BM,1992-10-19,1.96042238275848,999.798916053133,12.9926817561486,12.9926562146062,7.5,3601324.31758529,9.2,9,9.41507625245146,18.2
BM,1992-11-11,0.191073971217182,999.994728940571,12.9926587035435,12.9926562146062,7.5,3601324.31758529,5.2,4.7,4.66063074116773,18.2
BM,1993-01-06,2.03368494692612,999.995390195699,12.9926827054508,12.9926562146062,7.5,3601324.31758529,0.9,4.1,3.11294040074369,18.2
BM,1993-02-22,1.35457550774452,999.997408138737,12.9926738593141,12.9926562146062,7.5,3601324.31758529,0.1,4.5,1.59561661455319,18.2
BM,1993-03-24,0.981386943314831,999.997918845453,12.9926689981513,12.9926562146062,7.5,3601324.31758529,0.1,4.6,1.42125344027701,18.2
